Date,Bench_MaxDD_5d,Bench_MaxDD_21d,Bench_MaxDD_63d,Bench_MaxDD_126d,Bench_MaxDD_252d,MA200_LowCost_MaxDD_5d,MA200_LowCost_MaxDD_21d,MA200_LowCost_MaxDD_63d,MA200_LowCost_MaxDD_126d,MA200_LowCost_MaxDD_252d,MA200_HighCost_MaxDD_5d,MA200_HighCost_MaxDD_21d,MA200_HighCost_MaxDD_63d,MA200_HighCost_MaxDD_126d,MA200_HighCost_MaxDD_252d,Tech_Drift_MaxDD_5d,Tech_Drift_MaxDD_21d,Tech_Drift_MaxDD_63d,Tech_Drift_MaxDD_126d,Tech_Drift_MaxDD_252d
2006-01-19,-0.003340721078131601,-0.01029020751680624,-0.01116152155634044,-0.037384686155183866,-0.04075653134223328,-0.009499779474398925,-0.009499779474398852,-0.027688891526896294,-0.05689440337183495,-0.05689440337183434,-0.00913124792340706,-0.009131247923406938,-0.029511965849227318,-0.06994173273784872,-0.06994173273784798,-0.018372089917746297,-0.023913421659766267,-0.03805588361884868,-0.06508841176307398,-0.10470116504997988
2006-01-20,-0.012365622423503624,-0.01313560463967648,-0.01313560463967628,-0.03738468615518356,-0.04075653134223268,-0.009499779474398874,-0.009499779474398848,-0.027688891526896527,-0.05689440337183463,-0.056894403371834955,-0.009131247923407084,-0.009131247923406945,-0.0288369259542424,-0.06994173273784815,-0.06994173273784819,-0.04025141886826282,-0.04535999744525558,-0.04535999744525577,-0.0650884117630738,-0.10470116504997892
2006-01-23,-0.010947471782039328,-0.013135604639676059,-0.013135604639676276,-0.03738468615518407,-0.040756531342233136,-0.008935239391327036,-0.0094997794743988,-0.02768889152689652,-0.056894403371834594,-0.05689440337183514,-0.008617648307273094,-0.009131247923407151,-0.028836925954242205,-0.06994173273784851,-0.06994173273784833,-0.03395858649468592,-0.04535999744525559,-0.04535999744525574,-0.0650884117630735,-0.10470116504997946
2006-01-24,-0.010744433556081186,-0.013135604639676175,-0.013135604639676219,-0.03738468615518387,-0.040756531342233185,-0.007495015260865058,-0.009499779474399036,-0.02768889152689654,-0.05689440337183491,-0.056894403371834996,-0.007573620583397874,-0.00913124792340694,-0.02883692595424228,-0.06994173273784875,-0.06994173273784834,-0.029868563121923635,-0.04535999744525545,-0.045359997445255665,-0.0650884117630734,-0.10470116504997966
2006-01-25,-0.01074443355608128,-0.013135604639676056,-0.013135604639676439,-0.037384686155183894,-0.040756531342232366,-0.007495015260865087,-0.009499779474398853,-0.02768889152689642,-0.05689440337183459,-0.05689440337183428,-0.007573620583397745,-0.00913124792340707,-0.028836925954241997,-0.06994173273784839,-0.06994173273784846,-0.029868563121923698,-0.04535999744525572,-0.0453599974452556,-0.0650884117630735,-0.1047011650499797
2006-01-26,-0.0005250833409754522,-0.013135604639676064,-0.013135604639676179,-0.03738468615518381,-0.040756531342233046,-0.003458848326074751,-0.009499779474398964,-0.027688891526896412,-0.05689440337183504,-0.056894403371834726,-0.003558575116307253,-0.009131247923406879,-0.0288369259542425,-0.06994173273784877,-0.06994173273784883,-0.004343066250101119,-0.04535999744525572,-0.04535999744525556,-0.06508841176307388,-0.1047011650499792
2006-01-27,-0.0005250833409756131,-0.013135604639676004,-0.013135604639676189,-0.03738468615518341,-0.04075653134223307,-0.0034588483260745025,-0.009499779474399051,-0.027688891526896305,-0.05689440337183482,-0.056894403371834684,-0.0035585751163073154,-0.009131247923407014,-0.028836925954242157,-0.06994173273784864,-0.06994173273784873,-0.004343066250101067,-0.04535999744525532,-0.04535999744525565,-0.06508841176307374,-0.10470116504997962
2006-01-30,-0.0004694387807806954,-0.013135604639676371,-0.013135604639676137,-0.03738468615518379,-0.04075653134223344,-0.0019392654942341264,-0.00949977947439898,-0.027688891526896613,-0.05689440337183491,-0.05689440337183484,-0.002033389880003265,-0.00913124792340692,-0.02883692595424227,-0.06994173273784864,-0.06994173273784848,-0.0043430662501012535,-0.04535999744525571,-0.045359997445255484,-0.06508841176307378,-0.10470116504997948
2006-01-31,-0.004736516354310512,-0.013135604639676472,-0.013135604639676172,-0.03738468615518371,-0.040756531342233206,-0.003471676067341954,-0.009499779474398867,-0.02768889152689649,-0.05689440337183481,-0.05689440337183432,-0.0035022197689078267,-0.009131247923407158,-0.028836925954242452,-0.06994173273784851,-0.06994173273784852,-0.004504191793407296,-0.04535999744525544,-0.04535999744525564,-0.06508841176307371,-0.10470116504997873
2006-02-01,-0.0047365163543104626,-0.013135604639675991,-0.013135604639676154,-0.03738468615518424,-0.04075653134223326,-0.0034716760673419917,-0.009499779474399,-0.02768889152689646,-0.05689440337183475,-0.05689440337183444,-0.0035022197689077495,-0.009131247923406981,-0.028836925954242105,-0.06994173273784872,-0.06994173273784864,-0.004504191793407265,-0.04535999744525574,-0.04535999744525558,-0.06462189852355073,-0.10470116504997944
