,Credit_Index_Proxy,Credit_ETF_Actual
2019-06-30,3116.5,99.10769653320312
2019-07-31,3136.92,99.35942077636719
2019-08-31,3232.16,103.22050476074219
2019-09-30,3212.17,102.4402847290039
2019-10-31,3231.82,102.89630126953125
2019-11-30,3238.82,103.38507843017578
2019-12-31,3249.02,103.93025970458984
2020-01-31,3326.21,106.47251892089844
2020-02-29,3369.13,107.63448333740234
2020-03-31,3117.32,100.84076690673828
2020-04-30,3281.69,105.7272720336914
2020-05-31,3339.06,108.32839965820312
2020-06-30,3406.35,110.63316345214844
2020-07-31,3513.67,114.06295776367188
2020-08-31,3473.12,112.03453826904297
2020-09-30,3463.95,111.5418930053711
2020-10-31,3458.0,110.97260284423828
2020-11-30,3550.19,115.15801239013672
2020-12-31,3567.63,115.3314437866211
2021-01-31,3524.11,113.21904754638672
2021-02-28,3455.19,110.65654754638672
2021-03-31,3407.27,109.0210189819336
2021-04-30,3447.81,110.1583023071289
2021-05-31,3472.02,110.84420776367188
2021-06-30,3529.82,113.29544830322266
2021-07-31,3572.51,114.90313720703125
2021-08-31,3565.44,114.50790405273438
2021-09-30,3527.75,112.78177642822266
2021-10-31,3536.56,113.38062286376953
2021-11-30,3539.8,113.24617004394531
2021-12-31,3533.73,113.2074966430664
2022-01-31,3423.31,109.14118957519531
2022-02-28,3348.65,106.81488800048828
2022-03-31,3260.28,103.72390747070312
2022-04-30,3098.19,96.77517700195312
2022-05-31,3114.77,98.57898712158203
2022-06-30,3041.57,95.00765991210938
2022-07-31,3131.26,99.23017883300781
2022-08-31,3047.93,94.83513641357422
2022-09-30,2886.14,89.1641616821289
2022-10-31,2853.97,88.49964904785156
2022-11-30,2994.31,94.38280487060547
2022-12-31,2987.97,92.91880798339844
2023-01-31,3104.17,97.71324920654297
2023-02-28,3013.75,93.6395034790039
2023-03-31,3090.99,97.24322509765625
2023-04-30,3117.2,97.8305892944336
2023-05-31,3075.79,96.10005950927734
2023-06-30,3084.54,96.87853240966797
2023-07-31,3097.91,96.93065643310547
2023-08-31,3076.76,95.7393569946289
2023-09-30,3001.39,92.33358764648438
2023-10-31,2946.76,90.10662078857422
2023-11-30,3112.98,96.93169403076172
2023-12-31,3238.89,101.65736389160156
2024-01-31,3243.69,101.20724487304688
2024-02-29,3198.37,99.25189208984375
2024-03-31,3236.29,100.7813720703125
2024-04-30,3160.95,97.51299285888672
2024-05-31,3219.53,99.67166900634766
2024-06-30,3240.08,100.26602935791016
2024-07-31,3316.66,102.9111328125
2024-08-31,3367.48,104.83609008789062
2024-09-30,3425.5,106.89393615722656
2024-10-31,3348.44,103.495361328125
2024-11-30,3388.48,105.3488540649414
2024-12-31,3328.3,102.52992248535156
2025-01-31,3348.48,103.12492370605469
2025-02-28,3416.29,105.57034301757812
2025-03-31,3406.89,105.08211517333984
2025-04-30,3406.04,104.79774475097656
2025-05-31,3406.13,105.0140609741211
2025-06-30,3468.01,107.200927734375
2025-07-31,3473.17,107.10472106933594
2025-08-31,3510.04,108.2224349975586
2025-09-30,3559.85,110.25402069091797
2025-10-31,3575.77,110.41881561279297
2025-11-30,3598.51,111.44700622558594
2025-12-31,3586.69,110.16999816894531
