Date,Commodity_Index_Proxy,Commodity_ETF_Actual
2012-04-30,5146.0889,34.65999984741211
2012-05-31,4478.23,30.229999542236328
2012-06-30,4532.0298,30.440000534057617
2012-07-31,4820.8789,32.22999954223633
2012-08-31,5127.7368,34.540000915527344
2012-09-30,5054.8081,33.79999923706055
2012-10-31,4849.291,32.439998626708984
2012-11-30,4920.915,32.959999084472656
2012-12-31,4889.0098,32.790000915527344
2013-01-31,5102.0459,34.290000915527344
2013-02-28,4878.3081,32.540000915527344
2013-03-31,4915.855,32.900001525878906
2013-04-30,4683.3311,31.290000915527344
2013-05-31,4613.5908,30.809999465942383
2013-06-30,4624.3672,30.799999237060547
2013-07-31,4851.5962,32.540000915527344
2013-08-31,5015.3872,33.54999923706055
2013-09-30,4845.2832,32.380001068115234
2013-10-31,4775.3721,31.90999984741211
2013-11-30,4738.145,31.760000228881836
2013-12-31,4829.4668,32.189998626708984
2014-01-31,4750.4351,31.479999542236328
2014-02-28,4964.5962,32.9900016784668
2014-03-31,4971.5352,32.970001220703125
2014-04-30,5008.4048,33.29999923706055
2014-05-31,4999.6182,33.130001068115234
2014-06-30,5105.4639,33.91999816894531
2014-07-31,4835.0171,32.0
2014-08-31,4755.7451,31.5
2014-09-30,4469.2671,29.59000015258789
2014-10-31,4201.8379,27.829999923706055
2014-11-30,3742.98,25.020000457763672
2014-12-31,3232.7981,21.579999923706055
2015-01-31,2990.4519,19.700000762939453
2015-02-28,3183.792,20.8700008392334
2015-03-31,2967.1211,19.5
2015-04-30,3295.219,21.6299991607666
2015-05-31,3229.7429,21.15999984741211
2015-06-30,3226.1169,21.110000610351562
2015-07-31,2771.167,18.1200008392334
2015-08-31,2779.468,18.170000076293945
2015-09-30,2603.6221,17.079999923706055
2015-10-31,2609.5959,17.06999969482422
2015-11-30,2375.6211,15.510000228881836
2015-12-31,2170.615,14.229999542236328
2016-01-31,2058.3779,13.479999542236328
2016-02-29,2016.989,13.199999809265137
2016-03-31,2116.436,13.789999961853027
2016-04-30,2331.0449,15.220000267028809
2016-05-31,2382.751,15.420000076293945
2016-06-30,2384.6609,15.520000457763672
2016-07-31,2156.498,13.960000038146973
2016-08-31,2194.6479,14.239999771118164
2016-09-30,2285.6079,14.819999694824219
2016-10-31,2251.3879,14.5600004196167
2016-11-30,2308.46,14.920000076293945
2016-12-31,2417.311,15.670000076293945
2017-01-31,2383.157,15.430000305175781
2017-02-28,2388.6951,15.449999809265137
2017-03-31,2295.187,14.819999694824219
2017-04-30,2246.8459,14.430000305175781
2017-05-31,2212.3279,14.260000228881836
2017-06-30,2169.813,14.020000457763672
2017-07-31,2269.2939,14.609999656677246
2017-08-31,2251.665,14.460000038146973
2017-09-30,2326.4561,14.899999618530273
2017-10-31,2415.282,15.479999542236328
2017-11-30,2448.6631,15.680000305175781
2017-12-31,2556.708,16.280000686645508
2018-01-31,2644.127,16.889999389648438
2018-02-28,2555.823,16.270000457763672
2018-03-31,2612.603,16.649999618530273
2018-04-30,2744.2019,17.420000076293945
2018-05-31,2783.918,17.690000534057617
2018-06-30,2821.646,17.90999984741211
2018-07-31,2722.0249,17.260000228881836
2018-08-31,2751.3501,17.440000534057617
2018-09-30,2859.4431,18.110000610351562
2018-10-31,2692.356,16.989999771118164
2018-11-30,2388.6331,15.109999656677246
2018-12-31,2203.469,14.020000457763672
2019-01-31,2401.5349,15.1899995803833
2019-02-28,2493.114,15.720000267028809
2019-03-31,2533.2329,15.949999809265137
2019-04-30,2605.4089,16.389999389648438
2019-05-31,2391.415,15.010000228881836
2019-06-30,2497.365,15.649999618530273
2019-07-31,2492.0759,15.579999923706055
2019-08-31,2351.9509,14.819999694824219
2019-09-30,2393.0901,15.050000190734863
2019-10-31,2422.876,15.170000076293945
2019-11-30,2422.573,15.229999542236328
2019-12-31,2591.8611,16.209999084472656
2020-01-31,2311.2939,14.489999771118164
2020-02-29,2117.394,13.359999656677246
2020-03-31,1494.343,9.300000190734863
2020-04-30,1349.817,8.479999542236328
2020-05-31,1570.824,9.819999694824219
2020-06-30,1650.79,10.369999885559082
2020-07-31,1713.464,10.75
2020-08-31,1792.028,11.25
2020-09-30,1726.8101,10.75
2020-10-31,1665.082,10.380000114440918
2020-11-30,1865.567,11.649999618530273
2020-12-31,1976.955,12.329999923706055
2021-01-31,2074.698,12.90999984741211
2021-02-28,2294.251,14.239999771118164
2021-03-31,2244.832,13.970000267028809
2021-04-30,2429.595,15.100000381469727
2021-05-31,2490.8621,15.460000038146973
2021-06-30,2597.793,16.09000015258789
2021-07-31,2638.689,16.299999237060547
2021-08-31,2577.9529,15.90999984741211
2021-09-30,2733.489,16.860000610351562
2021-10-31,2891.9509,17.850000381469727
2021-11-30,2578.938,15.960000038146973
2021-12-31,2774.7261,17.110000610351562
2022-01-31,3097.5291,19.1200008392334
2022-02-28,3369.301,20.809999465942383
2022-03-31,3693.877,22.649999618530273
2022-04-30,3882.991,23.68000030517578
2022-05-31,4079.8479,25.040000915527344
2022-06-30,3768.0171,23.100000381469727
2022-07-31,3766.4241,22.93000030517578
2022-08-31,3665.5381,22.25
2022-09-30,3379.5811,20.579999923706055
2022-10-31,3606.179,21.850000381469727
2022-11-30,3544.677,21.59000015258789
2022-12-31,3495.7649,21.229999542236328
2023-01-31,3492.708,21.209999084472656
2023-02-28,3359.0801,20.309999465942383
2023-03-31,3323.0129,20.1200008392334
2023-04-30,3297.8059,19.90999984741211
2023-05-31,3096.3979,18.670000076293945
2023-06-30,3232.3459,19.489999771118164
2023-07-31,3579.3579,21.600000381469727
2023-08-31,3600.7219,21.700000762939453
2023-09-30,3748.9221,22.510000228881836
2023-10-31,3592.0391,21.6299991607666
2023-11-30,3461.114,20.68000030517578
2023-12-31,3346.584,20.059999465942383
2024-01-31,3496.0569,20.940000534057617
2024-02-29,3526.54,21.1200008392334
2024-03-31,3693.3279,22.059999465942383
2024-04-30,3736.1379,22.270000457763672
2024-05-31,3665.095,21.950000762939453
2024-06-30,3717.3931,22.149999618530273
2024-07-31,3586.4319,21.510000228881836
2024-08-31,3524.6289,21.040000915527344
2024-09-30,3521.77,21.0
2024-10-31,3537.7939,21.299999237060547
2024-11-30,3539.9529,21.139999389648438
2024-12-31,3655.99,21.770000457763672
2025-01-31,3777.23,22.520000457763672
2025-02-28,3726.4561,22.190000534057617
2025-03-31,3834.6809,22.770000457763672
2025-04-30,3511.238,20.75
2025-05-31,3567.0791,21.170000076293945
2025-06-30,3726.854,22.040000915527344
2025-07-31,3861.5911,22.799999237060547
2025-08-31,3853.71,22.770000457763672
2025-09-30,3878.6819,22.969999313354492
2025-10-31,3931.0439,23.209999084472656
2025-11-30,3928.0979,23.270000457763672
2025-12-31,3887.354,22.940000534057617
