"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2011","5,077.2490","5,374.2998","5,401.8999","4,822.2998","","-5.31%"
"05/01/2011","5,361.7080","5,736.0000","5,780.1001","4,998.1001","","-6.89%"
"04/01/2011","5,758.3691","5,531.2002","5,788.1001","5,504.6001","","4.41%"
"03/01/2011","5,515.0601","5,291.1001","5,590.3999","5,080.5000","","4.35%"
"02/01/2011","5,285.0830","5,087.5000","5,425.1001","4,942.8999","","3.75%"
"01/01/2011","5,094.2749","4,969.1001","5,112.6001","4,757.7002","","3.05%"
"12/01/2010","4,943.4141","4,528.1001","4,958.7002","4,515.2998","","9.40%"
"11/01/2010","4,518.5518","4,495.3999","4,792.2002","4,268.0000","","1.08%"
"10/01/2010","4,470.1641","4,369.2998","4,579.1001","4,349.6001","","2.56%"
"09/01/2010","4,358.7212","4,025.1001","4,366.1001","4,018.2000","","8.49%"
"08/01/2010","4,017.6919","4,285.6001","4,426.2002","3,941.3000","","-5.52%"
"07/01/2010","4,252.6411","3,979.0000","4,252.6411","3,893.3000","","5.63%"
"06/01/2010","4,025.9729","3,962.5000","4,229.6001","3,849.8000","","0.42%"
"05/01/2010","4,009.2471","4,612.8999","4,667.1001","3,765.8999","","-13.19%"
"04/01/2010","4,618.3740","4,532.7002","4,662.3999","4,461.7002","","2.77%"
"03/01/2010","4,493.6748","4,448.0000","4,521.2002","4,332.6001","","1.94%"
"02/01/2010","4,408.3560","4,180.2002","4,468.8999","4,018.2000","","5.56%"
"01/01/2010","4,176.2241","4,611.2002","4,743.8999","4,158.7002","","-7.89%"
"12/01/2009","4,534.1689","4,522.3999","4,576.0000","4,199.0000","","0.86%"
"11/01/2009","4,495.3149","4,459.2002","4,617.6001","4,299.2998","","1.52%"
"10/01/2009","4,427.8198","4,163.1001","4,797.2998","4,046.3000","","5.87%"
"09/01/2009","4,182.2090","4,199.2002","4,306.7998","3,956.2000","","0.17%"
"08/01/2009","4,175.0010","4,336.5000","4,465.7998","4,095.8999","","-2.36%"
"07/01/2009","4,276.1001","4,299.7002","4,356.1001","3,731.8999","","0.44%"
"06/01/2009","4,257.2368","4,307.2002","4,541.6001","4,023.7000","","0.57%"
"05/01/2009","4,233.0620","3,525.0000","4,246.8999","3,515.3999","","19.67%"
"04/01/2009","3,537.4221","3,517.3000","3,792.7000","3,378.0000","","-0.92%"
"03/01/2009","3,570.2200","3,349.8000","3,820.8000","3,175.8999","","4.51%"
"02/01/2009","3,416.3000","3,603.1001","3,724.6001","3,104.6001","","-6.10%"
"01/01/2009","3,638.2490","3,873.1001","4,393.8999","3,526.3000","","-8.94%"
"12/01/2008","3,995.3921","4,509.6001","4,511.3999","3,523.8000","","-13.32%"
"11/01/2008","4,609.3389","5,391.3999","5,722.0000","4,282.3999","","-14.84%"
"10/01/2008","5,412.6138","7,538.2998","7,685.2998","4,977.5000","","-28.20%"
"09/01/2008","7,538.3081","8,074.1001","9,222.1992","7,125.8999","","-12.44%"
"08/01/2008","8,609.5000","9,196.0996","9,499.5996","8,373.5000","","-7.10%"
"07/01/2008","9,267.7158","10,646.2998","10,941.6992","9,069.5000","","-12.23%"
"06/01/2008","10,558.6504","9,610.1992","10,804.7998","9,403.2998","","9.22%"
"05/01/2008","9,667.6299","8,913.5391","10,176.3994","8,615.9785","","9.10%"
"04/01/2008","8,860.9346","8,117.7300","9,223.3691","8,045.4302","","7.96%"
"03/01/2008","8,207.2617","8,322.2100","8,861.2285","7,964.0601","","-1.17%"
"02/01/2008","8,304.7744","7,445.5698","8,385.1396","7,240.7598","","11.26%"
"01/01/2008","7,464.3970","7,515.1299","7,780.0801","7,061.3999","","-0.03%"
"12/01/2007","7,466.2998","7,039.3101","7,571.9302","6,907.9502","","5.77%"
"11/01/2007","7,059.3130","7,381.1699","7,614.0298","7,047.8198","","-3.70%"
"10/01/2007","7,330.3350","6,712.5098","7,342.6099","6,432.2002","","9.61%"
"09/01/2007","6,687.8389","6,089.9102","6,797.2300","6,040.9902","","10.23%"
"08/01/2007","6,067.3979","6,316.8799","6,355.0801","5,781.5801","","-4.19%"
"07/01/2007","6,332.5308","6,014.5298","6,341.0200","5,952.1201","","5.55%"
"06/01/2007","5,999.7842","5,829.3501","6,113.3301","5,794.8901","","3.22%"
"05/01/2007","5,812.5469","5,861.6060","5,969.9600","5,664.8301","","-1.55%"
"04/01/2007","5,904.2632","5,910.9648","5,941.9531","5,763.0879","","-0.28%"
"03/01/2007","5,920.5469","5,736.1240","5,920.5469","5,511.9331","","3.23%"
"02/01/2007","5,735.0581","5,439.2002","5,764.9600","5,432.6572","","4.30%"
"01/01/2007","5,498.7749","5,611.0669","5,611.0669","5,044.7788","","-2.29%"
"12/01/2006","5,627.6411","6,043.5771","6,043.5771","5,592.4580","","-7.12%"
"11/01/2006","6,058.9072","5,746.8291","6,058.9072","5,667.8442","","5.53%"
"10/01/2006","5,741.5112","5,786.7041","5,974.3481","5,642.9419","","-2.57%"
"09/01/2006","5,892.8550","6,503.1982","6,503.1982","5,749.3101","","-10.71%"
"08/01/2006","6,599.4170","7,119.2910","7,223.2759","6,575.8071","","-7.26%"
"07/01/2006","7,115.8491","6,989.7012","7,261.3062","6,903.4722","","2.01%"
"06/01/2006","6,975.9658","6,849.0732","7,007.9229","6,604.6279","","1.16%"
"05/01/2006","6,895.8062","7,087.1841","7,254.0889","6,746.1528","","-0.77%"
"04/01/2006","6,949.2900","6,577.1162","7,255.8818","6,519.9038","","6.33%"
"03/01/2006","6,535.3760","6,254.7632","6,606.2959","6,108.0552","","5.13%"
"02/01/2006","6,216.4468","6,785.4829","6,785.4829","6,051.2900","","-10.10%"
"01/01/2006","6,915.1841","6,729.9888","6,956.2090","6,597.7930","","4.33%"
