Date,US_Stock_Index_Proxy,US_Stock_ETF_Actual
1999-09-30,1759.5899658203125,81.14541625976562
1999-10-31,1870.93994140625,86.3449478149414
1999-11-30,1908.969970703125,87.7827377319336
1999-12-31,2021.4000244140625,92.79598236083984
2000-01-31,1919.8399658203125,88.17591094970703
2000-02-29,1883.5,86.8333740234375
2000-03-31,2067.760009765625,95.2488021850586
2000-04-30,2005.550048828125,91.903564453125
2000-05-31,1964.4000244140625,90.45862579345703
2000-06-30,2012.8299560546875,92.23899841308594
2000-07-31,1981.3599853515625,90.79065704345703
2000-08-31,2104.429931640625,96.72303771972656
2000-09-30,1993.3299560546875,91.41658020019531
2000-10-31,1984.9100341796875,90.9888916015625
2000-11-30,1828.4200439453125,84.1963119506836
2000-12-31,1837.3699951171875,83.75628662109375
2001-01-31,1902.550048828125,87.47997283935547
2001-02-28,1729.0799560546875,79.13549041748047
2001-03-31,1619.5400390625,74.70096588134766
2001-04-30,1745.3900146484375,81.0833969116211
2001-05-31,1757.0899658203125,80.62886810302734
2001-06-30,1714.3199462890625,78.70757293701172
2001-07-31,1697.449951171875,77.90506744384766
2001-08-31,1591.1800537109375,73.28276824951172
2001-09-30,1462.68994140625,67.3006591796875
2001-10-31,1490.5799560546875,68.17705535888672
2001-11-30,1604.9200439453125,73.49333190917969
2001-12-31,1618.97998046875,73.90776062011719
2002-01-31,1595.3499755859375,73.18353271484375
2002-02-28,1564.5899658203125,71.87092590332031
2002-03-31,1623.4300537109375,74.2621078491211
2002-04-30,1525.0,69.94336700439453
2002-05-31,1513.77001953125,69.52831268310547
2002-06-30,1405.93994140625,64.3966293334961
2002-07-31,1296.3399658203125,59.32091522216797
2002-08-31,1304.8599853515625,59.72433853149414
2002-09-30,1163.0400390625,53.46213912963867
2002-10-31,1265.4100341796875,57.86117172241211
2002-11-30,1339.8900146484375,61.43012619018555
2002-12-31,1261.1800537109375,57.955039978027344
2003-01-31,1228.1400146484375,56.52961730957031
2003-02-28,1209.7099609375,55.76768493652344
2003-03-31,1221.4599609375,55.887020111083984
2003-04-30,1322.0699462890625,60.6157112121582
2003-05-31,1391.719970703125,63.93966293334961
