,US_Stock_TR,US_Credit_TR,Commodities_TR,US_Bond_10Y_TR,Risk_Free,US_Stock_XR,US_Credit_XR,Commodities_XR,US_Bond_10Y_XR
2014-03-31,0.008403625503505596,0.0007125804672434288,0.0013976967552769004,-0.0028126819514676,4.165712110459907e-05,0.008361968382400997,0.0006709233461388298,0.0013560396341723013,-0.002854339072572199
2014-04-30,0.007391461171702307,0.01165868769360734,0.007416139787162823,0.008473852182545,2.4996563158685703e-05,0.007366464608543621,0.011633691130448653,0.0073911432240041375,0.008448855619386315
2014-05-31,0.02347625881264337,0.01529021585251411,-0.0017543709725700296,0.0198568214935295,2.4996563158685703e-05,0.023451262249484683,0.015265219289355425,-0.0017793675357287153,0.019831824930370813
2014-06-30,0.020656293518999336,0.001676373705999934,0.021170756598973828,-0.0013378677087737,3.3327223783574667e-05,0.02062296629521576,0.0016430464822163593,0.021137429375190253,-0.0013711949325572747
2014-07-31,-0.013791528350802995,-0.0011769720146553864,-0.05297203257083061,-0.0014330689074867,2.4996563158685703e-05,-0.01381652491396168,-0.001201968577814072,-0.05299702913398929,-0.0014580654706453857
2014-08-31,0.04000357932704479,0.014269495772001095,-0.01639539185911043,0.0231218545127552,2.4996563158685703e-05,0.039978582763886106,0.01424449920884241,-0.016420388422269117,0.023096857949596514
2014-09-30,-0.014020162057698515,-0.012432213366269762,-0.060238299987945165,-0.0121652671200145,1.6665139084048874e-05,-0.014036827196782564,-0.012448878505353811,-0.060254965127029214,-0.01218193225909855
2014-10-31,0.024424800677674163,0.009333083200450343,-0.05983737244077436,0.017789847218016,1.6665139084048874e-05,0.024408135538590114,0.009316418061366294,-0.05985403757985841,0.01777318207893195
2014-11-30,0.02689408693115003,0.006350386444248235,-0.10920409376097073,0.0177578530762168,1.6665139084048874e-05,0.02687742179206598,0.006333721305164186,-0.10922075890005478,0.017741187937132752
2014-12-31,-0.002519216829407256,-0.0014005817801240328,-0.13630366713153697,0.0031901146592909,2.4996563158685703e-05,-0.0025442133925659416,-0.0014255783432827185,-0.13632866369469565,0.0031651180961322144
2015-01-31,-0.03002035152924043,0.027403594217194183,-0.07496484237602097,0.0468821153579636,2.4996563158685703e-05,-0.030045348092399116,0.027378597654035497,-0.07498983893917965,0.04685711879480491
2015-02-28,0.057473686614352815,-0.008359585958595872,0.06465246941440528,-0.0268203371798168,1.6665139084048874e-05,0.057457021475268766,-0.008376251097679921,0.06463580427532123,-0.02683700231890085
2015-03-31,-0.015815639164743267,0.0037139150791758446,-0.06805435154055295,0.0076247243788176,2.4996563158685703e-05,-0.015840635727901953,0.003688918516017159,-0.06807934810371163,0.007599727815658914
2015-04-30,0.009594591074544079,-0.005339251600456563,0.11057785946114573,-0.007574039294918,1.6665139084048874e-05,0.00957792593546003,-0.0053559167395406115,0.11056119432206168,-0.007590704434002049
2015-05-31,0.012858597308287534,-0.00505348971118591,-0.0198700298826876,-0.0038891929709355,1.6665139084048874e-05,0.012841932169203485,-0.005070154850269959,-0.01988669502177165,-0.003905858110019549
2015-06-30,-0.019359123789635224,-0.016394940641633826,-0.0011226899825370618,-0.0178052407165185,1.6665139084048874e-05,-0.019375788928719273,-0.016411605780717875,-0.0011393551216211106,-0.01782190585560255
2015-07-31,0.02095206811739847,0.005388331475288055,-0.14102089728986578,0.015918486919575,2.4996563158685703e-05,0.020927071554239784,0.005363334912129369,-0.14104589385302446,0.015893490356416313
2015-08-31,-0.06033421784540227,-0.006707016571182223,0.002995488904133037,0.0016033566887725,5.831462642125196e-05,-0.06039253247182352,-0.006765331197603475,0.002937174277711785,0.001545042062351248
2015-09-30,-0.02474358481868466,0.005240594450861558,-0.06326602788735103,0.0160006979337393,1.6665139084048874e-05,-0.02476024995776871,0.005223929311777509,-0.06328269302643508,0.01598403279465525
