,Active_Assets,Risk_On_Weight_Sum,Target_Leverage,Actual_Gross_Exposure,Actual_Borrowing
1996-07-31,3.0,0.7394632232332757,1.25452323209189,0.9276737928236958,0.0
1996-08-31,3.0,0.7337378606222236,1.2710349767400282,0.932606484609246,0.0
1996-09-30,2.0,0.3637966431287026,1.275312892175249,0.4639545491121126,0.0
1996-10-31,4.0,0.9999999999999999,1.2810712172906755,1.2810712172906753,0.2810712172906753
1996-11-30,4.0,1.0,1.276638898182304,1.276638898182304,0.276638898182304
1996-12-31,4.0,1.0,1.303043043035478,1.303043043035478,0.303043043035478
1997-01-31,4.0,1.0,1.3102023914513419,1.3102023914513419,0.3102023914513419
1997-02-28,4.0,1.0000000000000002,1.3636299285442561,1.3636299285442564,0.36362992854425635
1997-03-31,3.0,0.847682520968586,1.360763868989269,1.1534957469077902,0.15349574690779022
1997-04-30,4.0,1.0,1.3916879290271698,1.3916879290271698,0.39168792902716976
1997-05-31,4.0,1.0,1.4139246021469303,1.4139246021469303,0.4139246021469303
1997-06-30,4.0,0.9999999999999998,1.440234853821494,1.4402348538214937,0.44023485382149374
1997-07-31,3.0,0.8564215797769373,1.422214531612625,1.2180152159454012,0.2180152159454012
1997-08-31,3.0,0.851999441531049,1.4163578771676586,1.2067361203549472,0.20673612035494715
1997-09-30,4.0,1.0,1.4888545938637954,1.4888545938637954,0.4888545938637954
1997-10-31,4.0,1.0000000000000002,1.5050305813968567,1.5050305813968572,0.5050305813968572
1997-11-30,4.0,1.0,1.542720857430348,1.542720857430348,0.5427208574303479
1997-12-31,3.0,0.855851330675768,1.5085921886372762,1.291130632092282,0.29113063209228196
1998-01-31,3.0,0.8619033487284882,1.4979113080385225,1.2910547724966726,0.29105477249667255
1998-02-28,3.0,0.8616037532427006,1.4979979040575102,1.2906806164856497,0.2906806164856497
1998-03-31,3.0,0.8672759817658839,1.5225786313594571,1.320495877328029,0.3204958773280291
1998-04-30,3.0,0.8671000832768863,1.5297776951227837,1.3264703668360889,0.3264703668360889
1998-05-31,3.0,0.867761708173757,1.5319068300999923,1.3293300876506147,0.32933008765061467
1998-06-30,3.0,0.8805062005405155,1.6277521727080408,1.433245881012726,0.433245881012726
